elapsed_s,position_rad,velocity_rad_s,tau_cmd_nm,tau_fb_nm,force_est_n
0.545801,2.372333,-0.998779,-1.250000,-0.495238,41.269841
0.548353,2.369745,-0.969475,-1.250000,-0.489377,40.781441
0.550859,2.367158,-0.979243,-1.250000,-0.483516,40.293040
0.553579,2.364667,-0.998779,-1.250000,-0.483516,40.293040
0.556035,2.361983,-0.984127,-1.250000,-0.483516,40.293040
0.558550,2.359492,-0.989011,-1.250000,-0.471795,39.316239
0.561108,2.357096,-0.998779,-1.250000,-0.471795,39.316239
0.563661,2.354509,-0.974359,-1.250000,-0.477656,39.804640
0.566362,2.352017,-0.969475,-1.250000,-0.465934,38.827839
0.569049,2.349334,-1.008547,-1.250000,-0.465934,38.827839
0.571736,2.346747,-1.008547,-1.250000,-0.471795,39.316239
0.574259,2.344160,-0.949939,-1.250000,-0.471795,39.316239
0.577054,2.341764,-0.945055,-1.250000,-0.483516,40.293040
0.579669,2.339177,-0.959707,-1.250000,-0.483516,40.293040
0.582425,2.336685,-0.945055,-1.250000,-0.483516,40.293040
0.585153,2.334098,-0.949939,-1.250000,-0.489377,40.781441
0.588023,2.331510,-0.969475,-1.250000,-0.483516,40.293040
0.590758,2.328732,-0.959707,-1.250000,-0.489377,40.781441
0.593400,2.326144,-0.935287,-1.250000,-0.495238,41.269841
0.596199,2.323557,-0.964591,-1.250000,-0.489377,40.781441
0.598964,2.320874,-0.993895,-1.250000,-0.495238,41.269841
0.601574,2.318382,-0.920635,-1.250000,-0.501099,41.758242
0.604313,2.315891,-0.930403,-1.250000,-0.501099,41.758242
0.607034,2.313399,-0.940171,-1.250000,-0.501099,41.758242
0.609726,2.311004,-0.901099,-1.250000,-0.512821,42.735043
0.612568,2.308512,-0.896215,-1.250000,-0.512821,42.735043
0.615758,2.305733,-0.954823,-1.250000,-0.506960,42.246642
0.618693,2.302858,-0.949939,-1.250000,-0.506960,42.246642
0.621185,2.299984,-0.949939,-1.250000,-0.495238,41.269841
0.623977,2.297492,-0.998779,-1.250000,-0.489377,40.781441
0.626732,2.294617,-1.008547,-1.250000,-0.483516,40.293040
0.629533,2.291934,-0.974359,-1.250000,-0.471795,39.316239
0.632500,2.289155,-0.989011,-1.250000,-0.477656,39.804640
0.635213,2.283406,-1.008547,-1.250000,-0.465934,38.827839
0.638549,2.280243,-0.984127,-1.250000,-0.471795,39.316239
0.642496,2.280243,-0.984127,-1.250000,-0.471795,39.316239
0.645264,2.276985,-0.891331,-1.250000,-0.506960,42.246642
0.647888,2.274877,-0.798535,-1.250000,-0.536264,44.688645
0.650516,2.272769,-0.803419,-1.250000,-0.553846,46.153846
0.653418,2.270469,-0.847375,-1.250000,-0.559707,46.642247
0.656280,2.267882,-0.905983,-1.250000,-0.559707,46.642247
0.658965,2.265294,-0.881563,-1.250000,-0.553846,46.153846
0.661660,2.262707,-0.920635,-1.250000,-0.530403,44.200244
0.664544,2.260024,-0.984127,-1.250000,-0.518681,43.223443
0.667205,2.257149,-0.984127,-1.250000,-0.506960,42.246642
0.669907,2.254466,-0.993895,-1.250000,-0.489377,40.781441
0.672692,2.251591,-0.998779,-1.250000,-0.477656,39.804640
0.675375,2.248908,-1.003663,-1.250000,-0.465934,38.827839
0.678061,2.245937,-1.037851,-1.250000,-0.454212,37.851038
0.680847,2.243158,-1.052503,-1.250000,-0.448352,37.362637
0.683518,2.240284,-0.998779,-1.250000,-0.442491,36.874237
0.686288,2.237696,-1.013431,-1.250000,-0.448352,37.362637
0.688890,2.234821,-1.008547,-1.250000,-0.448352,37.362637
0.691595,2.232234,-1.023199,-1.250000,-0.448352,37.362637
0.694588,2.229551,-1.013431,-1.250000,-0.454212,37.851038
0.697598,2.226389,-1.023199,-1.250000,-0.448352,37.362637
0.700127,2.223418,-1.013431,-1.250000,-0.448352,37.362637
0.702644,2.220927,-0.974359,-1.250000,-0.454212,37.851038
0.705232,2.218435,-1.003663,-1.250000,-0.448352,37.362637
0.708190,2.215944,-1.008547,-1.250000,-0.460073,38.339438
0.710701,2.213165,-0.935287,-1.250000,-0.471795,39.316239
0.713240,2.210769,-0.945055,-1.250000,-0.471795,39.316239
0.715874,2.208373,-0.979243,-1.250000,-0.477656,39.804640
0.718879,2.205786,-0.964591,-1.250000,-0.483516,40.293040
0.721344,2.202719,-0.993895,-1.250000,-0.465934,38.827839
0.723830,2.200228,-1.028083,-1.250000,-0.460073,38.339438
0.726524,2.197641,-1.013431,-1.250000,-0.460073,38.339438
0.729380,2.194862,-1.003663,-1.250000,-0.448352,37.362637
0.731945,2.191795,-1.062271,-1.250000,-0.442491,36.874237
0.734506,2.189208,-1.057387,-1.250000,-0.442491,36.874237
0.737049,2.186621,-1.008547,-1.250000,-0.442491,36.874237
0.739777,2.184033,-0.998779,-1.250000,-0.448352,37.362637
0.742882,2.181254,-0.998779,-1.250000,-0.448352,37.362637
0.745806,2.178284,-1.003663,-1.250000,-0.454212,37.851038
0.748775,2.175313,-1.018315,-1.250000,-0.448352,37.362637
0.751344,2.172342,-1.013431,-1.250000,-0.448352,37.362637
0.753900,2.169659,-1.008547,-1.250000,-0.448352,37.362637
0.756495,2.169659,-1.008547,-1.250000,-0.448352,37.362637
0.758901,2.164293,-1.047619,-1.250000,-0.436630,36.385836
0.761952,2.161801,-1.018315,-1.250000,-0.442491,36.874237
0.764483,2.158831,-1.008547,-1.250000,-0.442491,36.874237
0.767016,2.156244,-1.023199,-1.250000,-0.436630,36.385836
0.769628,2.153656,-1.018315,-1.250000,-0.442491,36.874237
0.772192,2.150877,-1.023199,-1.250000,-0.430769,35.897436
0.774701,2.148194,-1.052503,-1.250000,-0.430769,35.897436
0.777474,2.145703,-1.042735,-1.250000,-0.436630,36.385836
0.780018,2.142732,-1.023199,-1.250000,-0.430769,35.897436
0.782560,2.140145,-1.067155,-1.250000,-0.436630,36.385836
0.785199,2.137557,-1.047619,-1.250000,-0.436630,36.385836
0.787642,2.134970,-0.979243,-1.250000,-0.442491,36.874237
0.790156,2.132670,-0.979243,-1.250000,-0.460073,38.339438
0.792687,2.130179,-0.974359,-1.250000,-0.460073,38.339438
0.795372,2.127687,-0.984127,-1.250000,-0.460073,38.339438
0.797780,2.124908,-1.008547,-1.250000,-0.460073,38.339438
0.800591,2.122417,-1.028083,-1.250000,-0.448352,37.362637
0.803132,2.119542,-1.047619,-1.250000,-0.436630,36.385836
0.805803,2.116763,-1.047619,-1.250000,-0.436630,36.385836
0.808591,2.113792,-1.091575,-1.250000,-0.419048,34.920635
0.811269,2.110918,-1.062271,-1.250000,-0.419048,34.920635
0.814267,2.108234,-1.018315,-1.250000,-0.424908,35.409035
0.816743,2.105072,-1.008547,-1.250000,-0.419048,34.920635
0.819290,2.102485,-1.057387,-1.250000,-0.424908,35.409035
0.821817,2.099802,-1.067155,-1.250000,-0.419048,34.920635
0.824377,2.096927,-1.086691,-1.250000,-0.407326,33.943834
0.826943,2.094244,-1.101343,-1.250000,-0.413187,34.432234
0.829438,2.091465,-1.076923,-1.250000,-0.401465,33.455433
0.831995,2.088686,-1.081807,-1.250000,-0.401465,33.455433
0.834303,2.086003,-1.081807,-1.250000,-0.401465,33.455433
0.836813,2.083607,-1.047619,-1.250000,-0.401465,33.455433
0.839413,2.081020,-1.037851,-1.250000,-0.407326,33.943834
0.841943,2.078241,-1.057387,-1.250000,-0.407326,33.943834
0.844617,2.075557,-1.067155,-1.250000,-0.407326,33.943834
0.847295,2.072491,-1.101343,-1.250000,-0.401465,33.455433
0.849703,2.069520,-1.130647,-1.250000,-0.389744,32.478632
0.852217,2.066646,-1.125763,-1.250000,-0.383883,31.990232
0.854794,2.063962,-1.111111,-1.250000,-0.378022,31.501832
0.857316,2.060896,-1.145299,-1.250000,-0.360440,30.036630
0.859896,2.058117,-1.145299,-1.250000,-0.366300,30.525031
0.862484,2.055338,-1.101343,-1.250000,-0.366300,30.525031
0.865215,2.052463,-1.101343,-1.250000,-0.366300,30.525031
0.867742,2.049493,-1.096459,-1.250000,-0.383883,31.990232
0.870238,2.046714,-1.101343,-1.250000,-0.378022,31.501832
0.872795,2.043935,-1.106227,-1.250000,-0.378022,31.501832
0.875362,2.041252,-1.086691,-1.250000,-0.383883,31.990232
0.877901,2.038473,-1.062271,-1.250000,-0.378022,31.501832
