elapsed_s,current_a,recorded_duration_s
4.835760,-0.167033,4.835760
4.846775,-0.167033,4.846775
4.857777,-0.196337,4.857777
4.868757,-0.143590,4.868757
4.879231,-0.131868,4.879231
4.890254,-0.137729,4.890254
4.901495,-0.114286,4.901495
4.912264,-0.161172,4.912264
4.922794,-0.172894,4.922794
4.933468,-0.096703,4.933468
4.944360,-0.161172,4.944360
4.955484,-0.108425,4.955484
4.966352,-0.178755,4.966352
4.977374,-0.161172,4.977374
4.988400,-0.126007,4.988400
4.999382,-0.143590,4.999382
5.010394,-0.120147,5.010394
5.021381,-0.126007,5.021381
5.031894,-0.167033,5.031894
5.042405,-0.161172,5.042405
5.052886,-0.172894,5.052886
5.063922,-0.155311,5.063922
5.074373,-0.090842,5.074373
5.084914,-0.096703,5.084914
5.096001,-0.090842,5.096001
5.106936,-0.114286,5.106936
5.117922,-0.249084,5.117922
5.128949,-0.196337,5.128949
5.139949,-0.172894,5.139949
5.150609,-0.167033,5.150609
5.161302,-0.090842,5.161302
5.172090,-0.114286,5.172090
5.182684,-0.108425,5.182684
5.193685,-0.149451,5.193685
5.204930,-0.219780,5.204930
5.215958,-0.178755,5.215958
5.226934,-0.137729,5.226934
5.237927,-0.108425,5.237927
5.248939,-0.061538,5.248939
5.259592,-0.143590,5.259592
5.270233,-0.167033,5.270233
5.280838,-0.149451,5.280838
5.291712,-0.243223,5.291712
5.302258,-0.219780,5.302258
5.312776,-0.131868,5.312776
5.323277,-0.131868,5.323277
5.334325,-0.090842,5.334325
5.345213,-0.143590,5.345213
5.356232,-0.167033,5.356232
5.367261,-0.149451,5.367261
5.378433,-0.161172,5.378433
5.389197,-0.126007,5.389197
5.400248,-0.114286,5.400248
5.411052,-0.131868,5.411052
5.422370,-0.120147,5.422370
5.432886,-0.143590,5.432886
5.443437,-0.219780,5.443437
5.454003,-0.137729,5.454003
5.464933,-0.172894,5.464933
5.475989,-0.184615,5.475989
5.486960,-0.143590,5.486960
5.497936,-0.184615,5.497936
5.508917,-0.131868,5.508917
5.519860,-0.120147,5.519860
5.530603,-0.114286,5.530603
5.541209,-0.108425,5.541209
5.552158,-0.155311,5.552158
5.563183,-0.161172,5.563183
5.574253,-0.172894,5.574253
5.584693,-0.178755,5.584693
5.595778,-0.155311,5.595778
5.606758,-0.114286,5.606758
5.617784,-0.143590,5.617784
5.628867,-0.108425,5.628867
5.639213,-0.213919,5.639213
5.650289,-0.213919,5.650289
5.661458,-0.167033,5.661458
5.671927,-0.184615,5.671927
5.682523,-0.102564,5.682523
5.692981,-0.079121,5.692981
5.704093,-0.096703,5.704093
5.715046,-0.143590,5.715046
5.725990,-0.208059,5.725990
5.737127,-0.219780,5.737127
5.748112,-0.184615,5.748112
5.759007,-0.161172,5.759007
5.769535,-0.102564,5.769535
5.780542,-0.102564,5.780542
5.791643,-0.184615,5.791643
5.802240,-0.149451,5.802240
5.812991,-0.190476,5.812991
5.824001,-0.254945,5.824001
5.834492,-0.126007,5.834492
5.845058,-0.120147,5.845058
5.856062,-0.084982,5.856062
5.867269,-0.143590,5.867269
5.878061,-0.196337,5.878061
5.889081,-0.172894,5.889081
5.899612,-0.178755,5.899612
5.910630,-0.178755,5.910630
5.921642,-0.143590,5.921642
5.932086,-0.149451,5.932086
5.943107,-0.143590,5.943107
5.954197,-0.131868,5.954197
5.964606,-0.196337,5.964606
5.975272,-0.143590,5.975272
5.986136,-0.137729,5.986136
5.997158,-0.172894,5.997158
6.008209,-0.137729,6.008209
6.019178,-0.219780,6.019178
6.029666,-0.178755,6.029666
6.040871,-0.161172,6.040871
6.051694,-0.178755,6.051694
6.062354,-0.137729,6.062354
6.072670,-0.172894,6.072670
6.083189,-0.196337,6.083189
6.094480,-0.190476,6.094480
6.105148,-0.202198,6.105148
6.116244,-0.178755,6.116244
6.127226,-0.090842,6.127226
6.138324,-0.126007,6.138324
6.149258,-0.096703,6.149258
6.160388,-0.208059,6.160388
6.171251,-0.208059,6.171251
6.181764,-0.184615,6.181764
6.192270,-0.213919,6.192270
6.203361,-0.149451,6.203361
6.214405,-0.114286,6.214405
6.224748,-0.143590,6.224748
6.235774,-0.149451,6.235774
6.246751,-0.178755,6.246751
6.257812,-0.243223,6.257812
6.268546,-0.196337,6.268546
6.279261,-0.155311,6.279261
6.290292,-0.096703,6.290292
6.301317,-0.079121,6.301317
6.311885,-0.190476,6.311885
6.322341,-0.161172,6.322341
6.332796,-0.178755,6.332796
6.343956,-0.284249,6.343956
6.354308,-0.190476,6.354308
6.364859,-0.167033,6.364859
6.375851,-0.143590,6.375851
6.387145,-0.126007,6.387145
6.397901,-0.172894,6.397901
6.408853,-0.149451,6.408853
6.419383,-0.155311,6.419383
6.430379,-0.190476,6.430379
6.441630,-0.137729,6.441630
6.452346,-0.137729,6.452346
6.462998,-0.143590,6.462998
6.473975,-0.131868,6.473975
6.484469,-0.184615,6.484469
6.495563,-0.196337,6.495563
6.506076,-0.137729,6.506076
6.517046,-0.213919,6.517046
6.528217,-0.161172,6.528217
6.539112,-0.184615,6.539112
6.550127,-0.178755,6.550127
6.561018,-0.126007,6.561018
6.571939,-0.137729,6.571939
6.582385,-0.108425,6.582385
6.593013,-0.120147,6.593013
6.603883,-0.161172,6.603883
6.614442,-0.178755,6.614442
6.624889,-0.196337,6.624889
6.635904,-0.184615,6.635904
6.646935,-0.137729,6.646935
6.657898,-0.126007,6.657898
6.668876,-0.131868,6.668876
6.679411,-0.131868,6.679411
6.690470,-0.254945,6.690470
6.701702,-0.208059,6.701702
6.712488,-0.178755,6.712488
6.723003,-0.161172,6.723003
6.734122,-0.079121,6.734122
6.744516,-0.096703,6.744516
6.755016,-0.114286,6.755016
6.766039,-0.161172,6.766039
6.777198,-0.243223,6.777198
6.788088,-0.208059,6.788088
6.798970,-0.172894,6.798970
6.810095,-0.143590,6.810095
6.821061,-0.090842,6.821061
6.832091,-0.143590,6.832091
6.842695,-0.167033,6.842695
6.853101,-0.149451,6.853101
6.864122,-0.243223,6.864122
6.874852,-0.202198,6.874852
6.885679,-0.120147,6.885679
6.896663,-0.108425,6.896663
6.907363,-0.096703,6.907363
6.918151,-0.161172,6.918151
6.929313,-0.172894,6.929313
6.939810,-0.172894,6.939810
6.950827,-0.190476,6.950827
6.961937,-0.149451,6.961937
6.972808,-0.143590,6.972808
6.983502,-0.137729,6.983502
6.994287,-0.120147,6.994287
7.004795,-0.143590,7.004795
7.015448,-0.196337,7.015448
7.026322,-0.114286,7.026322
7.037463,-0.172894,7.037463
7.048348,-0.126007,7.048348
7.059454,-0.161172,7.059454
7.070386,-0.167033,7.070386
7.081521,-0.126007,7.081521
7.092376,-0.149451,7.092376
7.102899,-0.126007,7.102899
7.113919,-0.126007,7.113919
7.124544,-0.190476,7.124544
7.135174,-0.167033,7.135174
7.145974,-0.167033,7.145974
7.157106,-0.161172,7.157106
7.167971,-0.114286,7.167971
7.179049,-0.084982,7.179049
7.189642,-0.096703,7.189642
7.200564,-0.108425,7.200564
7.211526,-0.249084,7.211526
7.222151,-0.196337,7.222151
7.233056,-0.167033,7.233056
7.244069,-0.190476,7.244069
7.254648,-0.102564,7.254648
7.265067,-0.108425,7.265067
7.276061,-0.120147,7.276061
7.287038,-0.155311,7.287038
7.298071,-0.208059,7.298071
7.308694,-0.184615,7.308694
7.319623,-0.149451,7.319623
7.330601,-0.114286,7.330601
7.341640,-0.061538,7.341640
7.352120,-0.126007,7.352120
7.362964,-0.178755,7.362964
7.380237,-0.149451,7.380237
7.391213,-0.278388,7.391213
7.402510,-0.161172,7.402510
7.413273,-0.149451,7.413273
7.424252,-0.102564,7.424252
7.434777,-0.126007,7.434777
7.445314,-0.178755,7.445314
7.456373,-0.149451,7.456373
7.467386,-0.149451,7.467386
7.478261,-0.143590,7.478261
7.489265,-0.108425,7.489265
7.499971,-0.114286,7.499971
7.511017,-0.131868,7.511017
7.522146,-0.126007,7.522146
7.533284,-0.184615,7.533284
7.544197,-0.184615,7.544197
7.554962,-0.131868,7.554962
7.566000,-0.190476,7.566000
7.576935,-0.131868,7.576935
7.588092,-0.190476,7.588092
7.598926,-0.161172,7.598926
7.609446,-0.126007,7.609446
7.620556,-0.131868,7.620556
7.631438,-0.096703,7.631438
7.642227,-0.126007,7.642227
7.652980,-0.137729,7.652980
7.663954,-0.161172,7.663954
7.674466,-0.190476,7.674466
7.684960,-0.172894,7.684960
7.695967,-0.108425,7.695967
7.707019,-0.131868,7.707019
7.717494,-0.108425,7.717494
7.728511,-0.149451,7.728511
7.739485,-0.249084,7.739485
7.750518,-0.184615,7.750518
7.761635,-0.184615,7.761635
7.772045,-0.131868,7.772045
7.782556,-0.073260,7.782556
7.793074,-0.096703,7.793074
7.804081,-0.114286,7.804081
7.814793,-0.161172,7.814793
7.825619,-0.237363,7.825619
7.836581,-0.190476,7.836581
7.847591,-0.167033,7.847591
7.858564,-0.137729,7.858564
7.869653,-0.090842,7.869653
7.880809,-0.161172,7.880809
7.891729,-0.155311,7.891729
7.902157,-0.149451,7.902157
7.912611,-0.249084,7.912611
